data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,type
223.71,219.55,201.24,225.43,169.82,201.26,212.97,220.7,290.25,549.37,415.16,425.79,235.62,384.16,211.92,240.36,43536,48358,43193,38443,30971,36625,40827,40345,50917,83022,83979,76373,42301,53728,42152,44433,1
232.71,209.57,199.76,217.24,160.47,184.33,209.52,235.48,285.09,500.07,426,413.09,212.82,377.36,204.81,245.22,43616,44578,41278,36820,28746,32999,38730,38910,49165,73403,82926,72187,38824,51849,38952,43478,1
233.13,195.89,198.37,206.02,149.56,194.25,196.41,221.24,245.51,514.83,406.94,409.79,216.15,371.29,194.03,232.82,43179,41277,38525,34919,27930,34668,36397,36334,47155,74750,75420,69591,38138,49955,37473,41508,1
221.41,198.9,208.91,200.89,132.57,188.88,199.45,223.13,234.88,463.86,415.99,380.45,194.39,361.26,185.17,227.14,42231,42606,41744,35156,26113,35387,37527,37315,44894,67283,72871,66234,35992,49036,35753,42027,1
329.96,296.46,216.46,246.44,211.09,239.37,272.91,350.63,426.74,894.88,654.54,511.64,232.42,387.15,322.53,421.9,71369,63889,52974,45364,42475,47778,56351,64212,87338,1.37E+05,1.20E+05,1.02E+05,49919,58591,59060,74426,1
312.31,282.26,227.5,229.83,200.45,234.56,261.88,342.8,421.7,768.41,636.21,508.6,223.89,375.24,322.41,412.49,66984,62810,52251,42991,39215,45958,54292,59186,84497,1.21E+05,1.17E+05,95959,44364,59120,56933,69798,1
285.75,245.17,223.95,210.51,179.28,237.73,249.53,325.74,407.47,714.6,569.4,477.76,219.71,418.59,325.04,392.1,60636,55166,51285,39871,34120,45920,53038,55563,79574,1.13E+05,1.08E+05,91759,42628,62648,56047,61799,1
261,234.86,224.2,197.98,173.13,233.93,223.19,277.76,338.05,645.7,538.46,488.63,223.52,407.09,270.61,302.91,55910,52550,48811,40456,33545,45063,47546,50083,66786,99241,1.04E+05,88539,42089,61319,49335,49963,1
250.12,236.42,224.87,221.52,202.26,248.31,238.7,295.11,371.94,653.7,506.99,455.58,240.35,439.96,248.16,288.46,54515,52493,50291,41742,37080,46304,50165,53420,66990,1.03E+05,1.02E+05,84961,45869,62810,47869,50800,1
250.98,226.53,224.52,232.19,201.44,236.61,234.36,283.79,356.84,658.03,504.99,453.78,232.69,415.77,253.17,269.65,55111,51632,48504,42850,36971,43613,46912,52358,60971,1.01E+05,1.01E+05,80751,43559,59703,46116,49849,1
258.82,230.3,227.67,239.24,203.3,245.3,245.02,296.2,347.53,688.75,492.37,434.44,224.17,434.02,268.93,300.16,54609,51907,49226,41630,35577,45650,49862,51655,61741,1.07E+05,98000,79640,41478,64117,47083,54610,1
235.75,235.5,217.93,219.25,182.89,212.63,231.55,267.26,297.84,654.14,504.87,425.16,208.12,361.61,264.17,281.74,50642,50776,46936,37965,31600,41546,46935,46299,58881,97494,97063,75953,37122,54376,45995,48362,1
230.11,246.85,203.38,206.94,186,211.65,243.24,281.16,282.29,633.3,473.25,419.33,224.7,356.08,245.26,293.26,47713,53033,44848,34968,32872,41096,49111,45667,56945,91221,91142,73970,38586,55007,45331,47732,1
220.26,255.09,207.64,199.7,186.47,204.61,237.94,271.86,279.83,623.74,448.19,421.09,251.98,358.88,276.13,274.71,45455,53654,46107,34743,33864,39252,46842,45606,55110,89553,89454,74443,40830,51848,47198,44057,1
226.55,241.03,197.08,198.52,174.21,221.2,251.8,252.82,273.03,634.39,461.06,405.33,245.75,370.52,268.99,258.11,46922,53596,45345,36239,34146,40446,49626,47419,55114,92492,89573,73759,42755,55679,45126,45525,1
235.18,247.71,200.98,196.55,185.35,239.15,243.39,237.97,275.85,673.85,524.51,381.13,232.8,362.15,257.76,231.7,51342,54426,47155,37101,35282,44228,48439,49146,55756,96826,96418,73683,41364,55152,43041,45593,1
